股票代码,股票简称,最新价,所属概念,股票市场类型,涨跌幅:前复权[20260430],成交额[20260430],主力资金流向[20260430],区间涨跌幅:前复权[20260424-20260430],所属概念数量,a股市值(不含限售股)[20260430],成交量[20260430],主力买入金额[20260430],主力卖出金额[20260430],开盘价:前复权[20260430],最高价:前复权[20260430],最低价:前复权[20260430],收盘价:前复权[20260430],振幅[20260430],market_code,code
600638.SH,新黄浦,6.25,租售同权;信托概念;物业管理;互联网金融;期货概念;国企改革,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股,1.95758564,8.1814603E7,9647846.299999999,-3.5493827160493887,6,4208729912.5,1.3162367E7,14048488.7,4400642.4,6.1,6.28,6.1,6.25,2.936378,17,600638
600605.SH,汇通能源,31.6,租售同权;芯片概念;物业管理;沪股通,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;沪股通,-1.77183712,1.39865909E8,2974143.0,5.650284185891011,4,6518524756.4,4413615,16918470.0,13944327.0,32.86,32.86,31.21,31.6,5.129002,17,600605
000560.SZ,我爱我家,2.97,租售同权;物业管理;西部大开发;京津冀一体化;数字经济;深股通;鸿蒙概念;AIGC概念;数据要素;人工智能;ChatGPT概念;华为概念;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,1.02040816,2.63379234E8,24511291.0,2.413793103448286,13,6945155496.18,8.8994986E7,87708177.0,63196886.0,2.94,2.98,2.92,2.97,2.040816,33,000560
002285.SZ,世联行,3.12,租售同权;物业管理;特色小镇;养老概念;化债概念(AMC概念);新型城镇化;横琴新区;互联网金融;国企改革;粤港澳大湾区;华为概念;云计算;深股通;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;原中小企业板;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,3.65448505,1.83105975E8,19085759.0,5.050505050505047,14,6162743967.12,5.924656E7,58216026.0,39130267.0,3.03,3.13,3.01,3.12,3.98671,33,002285
000090.SZ,天健集团,3.52,租售同权;物业管理;深圳国企改革;国企改革;新型城镇化;粤港澳大湾区;人工智能;数字孪生;机器人概念;深股通;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,0.57142857,8.17531993E7,3126237.5,-1.9498607242339787,11,6576878647.68,2.3231601E7,16446880.3,13320642.8,3.54,3.55,3.49,3.52,1.714285,33,000090
000863.SZ,三湘印象,4.85,租售同权;文化传媒概念;Web3.0;人工智能;数字经济;元宇宙;旅游概念;物业管理;IP经济(谷子经济);虚拟现实;创投;智能家居;一带一路;光伏建筑一体化;长三角一体化;深股通;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,6.35964912,1.89969445E8,15683916.0,9.234234234234217,17,5641596474.8,4.0559736E7,41908735.0,26224819.0,4.6,4.9,4.52,4.85,8.333333,33,000863
002244.SZ,滨江集团,9.55,租售同权;特色小镇;物业管理;证金持股;乡村振兴;养老概念;深股通;融资融券;海峡两岸;固态电池;共同富裕示范区,中证500;中证800;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;原中小企业板;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,1.59574468,4.17913976E8,25000899.0,-6.647116324535676,11,26334596197.0,4.3676804E7,84273258.0,59272359.0,9.42,9.77,9.18,9.55,6.276595,33,002244
001979.SZ,招商蛇口,8.7,租售同权;免税店;物业管理;国企改革;养老概念;深股通;融资融券;央企国企改革;回购增持再贷款概念;粤港澳大湾区;低空经济,中证800;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深300;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证100R;深证AB股;深证A股;深证上市公司;深证主板A股,-1.47225368,4.96318684E8,1421677.0,0.928074245939676,11,73198176745.8,5.669356E7,91553037.0,90131360.0,8.87,8.92,8.58,8.7,3.850509,33,001979
002563.SZ,森马服饰,6.06,足球概念;网红经济;三胎概念;体育产业;高股息精选;跨境电商;IP经济(谷子经济);共同富裕示范区;数字经济;深股通;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;原中小企业板;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,0,2.99498112E8,805219.0,13.271028037383179,11,13374982307.4,4.9349892E7,25004590.0,24199371.0,6.08,6.13,6,6.06,2.145214,33,002563
002887.SZ,绿茵生态,13.3,足球概念;土壤修复;污水处理;新型城镇化;PPP概念;体育产业;露营经济;碳中和;冰雪产业;碳交易;乡村振兴;水利;雄安新区;旅游概念;京津冀一体化;IP经济(谷子经济),全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;原中小企业板;沪深AB股;沪深A股;沪深主板A股;深证AB股;深证A股;深证上市公司;深证主板A股,1.06382979,1.39132904E8,3262598.5999999996,4.972375690607741,16,2889174175.3,1.0361786E7,13361527.6,10098929.0,13.3,13.73,12.93,13.3,6.079027,33,002887
002415.SZ,海康威视,36.29,足球概念;同花顺漂亮100;智慧城市;养老概念;数据安全;多模态AI;人脸识别;智慧政务;人工智能;AI应用;智能家居;物联网;工业互联网;数字乡村;安防;证金持股;深股通;融资融券;机器人概念;机器视觉;国企改革;存储芯片;无人机;同花顺出海50;汽车电子;回购增持再贷款概念;无人驾驶;央企国企改革;光纤概念,中证800;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;原中小企业板;沪深300;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证100R;深证AB股;深证A股;深证上市公司;深证主板A股,4.25165182,4.22618059E9,660312790.0,8.360704687966548,29,328293935075.91,1.17530949E8,1269382940.0,609070150.0,34.75,36.84,34.57,36.29,6.521114,33,002415
001300.SZ,三柏硕,18.05,足球概念;体育产业;跨境电商;人民币贬值受益;回购增持再贷款概念,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;深证AB股;深证A股;深证上市公司;深证主板A股,3.43839542,9.4029131E7,4495975.0,5.064027939464499,5,4400155247.7,5224200,7277557.0,2781582.0,17.57,18.29,17.4,18.05,5.100286,33,001300
300651.SZ,金陵体育,36.08,足球概念;体育产业;2025年报预增,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;沪深AB股;沪深A股;深证AB股;深证A股;深证上市公司,13.24544884,1.06573785E9,70694391.0,26.507713884992985,3,3729851721.2,2.9956452E7,216328025.0,145633634.0,32.67,38.2,32.39,36.08,18.236032,33,300651
002395.SZ,双象股份,20.17,足球概念;丙烯酸;体育产业;煤化工概念;消费电子概念;光伏概念;MR(混合现实);融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;原中小企业板;沪深AB股;沪深A股;沪深主板A股;深证AB股;深证A股;深证上市公司;深证主板A股,2.4898374,3.52682976E8,2756741.0,11.559734513274355,8,5409306698.52,1.7289381E7,51120145.0,48363404.0,19.79,20.78,19.75,20.17,5.233739,33,002395
600221.SH,海航控股,1.51,自由贸易港;雄安新区;海南自贸区;融资融券;股权转让(并购重组);沪股通,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;沪股通;沪股通(可融资融券),4.86111111,1.73486649E9,345363720.0,4.1379310344827624,6,64696727548.83,1.13523726E9,817444910.0,472081190.0,1.5,1.57,1.5,1.51,4.861111,17,600221
000564.SZ,供销大集,1.75,自由贸易港;物业管理;统一大市场;无人零售;跨境电商;冷链物流;IP经济(谷子经济);网红经济;乡村振兴;供销社;农村电商;新疆振兴;西部大开发;百度概念;军民融合;深股通;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,0.57471264,4.10866192E8,1064329.0,-3.8461538461538494,17,26416039168.75,2.34052813E8,127893922.0,126829593.0,1.73,1.78,1.73,1.75,2.873563,33,000564
603535.SH,嘉诚国际,7.93,自由贸易港;跨境电商;统一大市场;智能物流;数字经济;拼多多概念;粤港澳大湾区;物联网;阿里巴巴概念;低空经济;无人驾驶;抖音概念(字节概念);航运概念;沪股通,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;沪股通,-2.33990148,7.2935874E7,1928649.8999999994,-2.8186274509803972,14,4051582364.83,9283515,5463299.1,3534649.2,7.97,7.98,7.66,7.93,3.940886,17,603535
002320.SZ,海峡股份,8.5,自由贸易港;海南自贸区;旅游概念;航运概念;国企改革;股权转让(并购重组);央企国企改革;深股通;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;原中小企业板;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,1.79640719,1.53523406E8,11006080.0,3.406326034063252,9,19004282889.5,1.8123089E7,18989616.0,7983536.0,8.37,8.56,8.32,8.5,2.874251,33,002320
605296.SH,神农集团,29.96,猪肉;预制菜;乡村振兴;西部大开发;回购增持再贷款概念;沪股通,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;沪股通,1.73174873,1.2463241E8,11078260.0,-1.187335092348283,6,15518813163.28,4153710,15908344.0,4830084.0,29.47,30.38,29.25,29.96,3.837011,17,605296
002726.SZ,ST龙大,2.86,猪肉;预制菜;ST板块,ST;全部AB股;全部A股;全部A股(非金融);全部上市公司;原中小企业板;沪深AB股;沪深A股;沪深主板A股;深证AB股;深证A股;深证上市公司;深证主板A股;风险警示板,-4.9833887,3623906,1235234.0,-9.20634920634921,3,3084148461.68,1267100,1235234.0,0.0,2.86,2.86,2.86,2.86,0,33,002726
300498.SZ,温氏股份,16.44,猪肉;养鸡;预制菜;禽流感;乡村振兴;基因测序;回购增持再贷款概念;深股通;融资融券,中证800;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;沪深300;沪深AB股;沪深A股;沪深股通;深股通;深证100R;深证AB股;深证A股;深证上市公司,1.98511166,1.03116465E9,107583495.0,2.621722846441958,9,97806538015.56,6.2800093E7,302944387.0,195360892.0,16.01,16.64,15.93,16.44,4.404466,33,300498
000876.SZ,新希望,8.73,猪肉;养鸡;预制菜;农村电商;乡村振兴;参股银行;西部大开发;深股通;融资融券;一带一路,中证800;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深300;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证100R;深证AB股;深证A股;深证上市公司;深证主板A股,0.1146789,2.59983934E8,8075515.0,0.5760368663594552,10,39285031628.79,2.9839926E7,36150755.0,28075240.0,8.65,8.79,8.62,8.73,1.949541,33,000876
002840.SZ,华统股份,12.72,猪肉;养鸡;预制菜;冷链物流;碳中和;绿色电力;回购增持再贷款概念;深股通;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;原中小企业板;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,4.00654129,4.53734864E8,22006398.0,0.7125890736342031,9,10133102550.48,3.6035943E7,63525035.0,41518637.0,12.23,12.95,11.85,12.72,8.994276,33,002840
603477.SH,巨星农牧,18.81,猪肉;养鸡;西部大开发;回购增持再贷款概念;AI应用;比亚迪概念;沪股通;融资融券,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;沪股通;沪股通(可融资融券),1.67567568,3.5212504E8,9485904.0,3.8652678078409677,8,9594424430.91,1.8716562E7,34575957.0,25090053.0,18.5,19.1,18.31,18.81,4.27027,17,603477
002157.SZ,正邦科技,3.47,猪肉;土地流转;乡村振兴;碳中和;深股通;融资融券,中证500;中证800;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;原中小企业板;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,5.15151515,1.97753094E9,102827080.0,6.7692307692307745,6,27022472618.42,5.78866393E8,526924100.0,424097020.0,3.27,3.5,3.24,3.47,7.878787,33,002157
002311.SZ,海大集团,49.98,猪肉;同花顺漂亮100;生态农业;宠物经济;深股通;融资融券,中证800;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;原中小企业板;沪深300;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证100R;深证AB股;深证A股;深证上市公司;深证主板A股,0.34129693,5.6317352E8,37991800.0,6.703672075149431,6,82174785282.66,1.1135688E7,91724484.0,53732684.0,49.65,51.1,49.41,49.98,3.392892,33,002311
002714.SZ,牧原股份,44.7,猪肉;同花顺漂亮100;合成生物;乡村振兴;参股银行;回购增持再贷款概念;深股通;融资融券,中证800;中证A50;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;原中小企业板;含H股的A股;沪深300;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证100R;深证AB股;深证A股;深证上市公司;深证主板A股,0.1792918,1.94128655E9,127516670.0,2.7822487928259387,8,169868482629.6,4.332485E7,415975370.0,288458700.0,44,45.38,43.81,44.7,3.518601,33,002714
000735.SZ,罗牛山,6.58,猪肉;海南自贸区;养鸡;生态农业;乡村振兴;动物疫苗;宠物经济;冷链物流;统一大市场;自由贸易港;职业教育;深股通;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,2.65210608,1.88098998E8,2016013.0,-3.3773861967694505,13,7572905661.86,2.8554909E7,18709622.0,16693609.0,6.38,6.76,6.38,6.58,5.928237,33,000735
001233.SZ,海安集团,60.63,注册制次新股;专精特新;人民币贬值受益;海峡两岸;高端装备;中俄贸易概念;一带一路;俄乌冲突概念;深股通;新股与次新股;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司;深证主板A股,1.88203663,3.14795548E8,18215683.0,-11.50197051525325,11,2145448329.6,5280482,44654599.0,26438916.0,58.5,62.95,55.5,60.63,12.518904,33,001233
603418.SH,友升股份,51.65,注册制次新股;一体化压铸;华为汽车;小米汽车;比亚迪概念;特斯拉概念;小米概念;新能源汽车;宁德时代概念;新股与次新股;融资融券,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股,1.03677621,6.9587304E7,2060450.58,2.704314973155696,11,2136482209.8,1345395,7711869.58,5651419.0,51.1,52.2,50.91,51.65,2.523474,17,603418
001312.SZ,福恩股份,23.46,注册制次新股;一带一路;人民币贬值受益;新股与次新股;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;深证AB股;深证A股;深证上市公司;深证主板A股,-1.22105263,1.59011671E8,109567.30000000075,-12.885258076494614,5,1340979910.74,6774772,9202850.3,9093283.0,23.76,23.76,23.25,23.46,2.147368,33,001312
603382.SH,海阳科技,26.11,注册制次新股;数字经济;工业互联网;绿色电力;新股与次新股;融资融券,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股,1.39805825,2.479934E7,287826.0,-2.936802973977692,6,946495855.2,952105,1281717.0,993891.0,25.75,26.27,25.73,26.11,2.097087,17,603382
301682.SZ,宏明电子,125.63,注册制次新股;柔性直流输电;核电;商业航天;大飞机;卫星导航;可控核聚变;超级电容;军工;储能;消费电子概念;汽车电子;高端装备;传感器;先进封装;苹果概念;东数西算(算力);国企改革;芯片概念;新能源汽车;华为概念;比亚迪概念;西部大开发;锂电池概念;新股与次新股;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;创业板(注册制);沪深AB股;沪深A股;深证AB股;深证A股;深证上市公司,2.17974786,4.86778352E8,22447202.0,1.691759753925845,26,3227035322.23,3889484,96266488.0,73819286.0,123,127.29,122.34,125.63,4.026026,33,301682
301491.SZ,汉桑科技,49.2,注册制次新股;人民币贬值受益;智能家居;人工智能;物联网;智能音箱;智能穿戴;消费电子概念;深股通;新股与次新股;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;创业板(注册制);沪深AB股;沪深A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司,0.96449826,3.74119033E7,3898705.5,1.2137420283892273,11,1406305740.0,758464,6048714.5,2150009.0,48.85,49.71,48.7,49.2,2.072645,33,301491
301575.SZ,艾芬达,46.57,注册制次新股;跨境电商;智能物流;家用电器;智能家居;人民币贬值受益;一带一路;石墨烯;深股通;新股与次新股;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;创业板(注册制);沪深AB股;沪深A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司,2.12719298,4.65014607E7,2143949.8000000007,2.8716589352772193,11,810715521.52,999282,6483603.9,4339654.1,45.84,47.2,45.62,46.57,3.464912,33,301575
001220.SZ,世盟股份,39.87,注册制次新股;京津冀一体化;智能物流;新股与次新股;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;深证AB股;深证A股;深证上市公司;深证主板A股,0.55485498,8.24641804E7,1850533.7999999998,-8.951815482986987,5,901406795.76,2085986,6445638.8,4595105.0,39.66,40.18,39.01,39.87,2.950819,33,001220
301632.SZ,广东建科,20.69,注册制次新股;建筑节能;垃圾分类;房屋检测;水利;国企改革;光伏建筑一体化;智慧城市;智能物流;光伏概念;DeepSeek概念;人工智能;机器人概念;物联网;车联网(车路协同);低空经济;粤港澳大湾区;AI智能体;碳中和;碳交易;AIGC概念;5G;文化传媒概念;深股通;新股与次新股;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;创业板(注册制);沪深AB股;沪深A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司,1.07474353,4.80712421E7,189090.2000000002,-0.5288461538461511,26,1515790780.0,2317446,4704275.2,4515185.0,20.51,21.13,20.4,20.69,3.566194,33,301632
603284.SH,林平发展,47.02,注册制次新股;参股银行;乡村振兴;专精特新;新股与次新股;融资融券,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股,-0.6549757,6.5928627E7,3931320.0,-13.247232472324722,6,868619409.06,1403778,4609899.0,678579.0,47.25,47.3,46.46,47.02,1.774772,17,603284
300189.SZ,神农种业,6.11,转基因;玉米;粮食概念;生态农业;土地流转;农业种植;海南自贸区;乡村振兴;合成生物;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;沪深AB股;沪深A股;深证AB股;深证A股;深证上市公司,1.49501661,3.14634568E8,4250674.0,-7.00152207001522,10,5414990090.64,5.1561944E7,48185139.0,43934465.0,6.06,6.18,6.01,6.11,2.82392,33,300189
600371.SH,万向德农,8.79,转基因;玉米;粮食概念;农业种植;乡村振兴;化肥;黑龙江自贸区;回购增持再贷款概念,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股,1.15074799,4.1473716E7,148826.0,2.447552447552437,8,2571760620.0,4730489,2118634.0,1969808.0,8.69,8.81,8.65,8.79,1.841196,17,600371
600354.SH,敦煌种业,6.26,转基因;玉米;粮食概念;农业种植;生态农业;供销社;乡村振兴;西部大开发;国企改革;融资融券,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股,1.78861789,1.45080964E8,13666628.0,1.6233766233766176,10,3304041020.8,2.3280639E7,29407485.0,15740857.0,6.15,6.27,6.15,6.26,1.951219,17,600354
600313.SH,农发种业,7.12,转基因;玉米;大豆;粮食概念;土地流转;农业种植;化肥;乡村振兴;国企改革;央企国企改革;一带一路;2025年报预增;沪股通;融资融券,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;沪股通;沪股通(可融资融券),-0.8356546,2.36386749E8,2673566.200000003,-2.4657534246575303,14,7705254480.56,3.336824E7,38585155.2,35911589.0,7.1,7.16,7.01,7.12,2.089136,17,600313
300087.SZ,荃银高科,8.48,转基因;玉米;大豆;粮食概念;俄乌冲突概念;农业种植;乡村振兴;国企改革;央企国企改革;一带一路;融资融券;深股通,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;沪深AB股;沪深A股;沪深股通;深股通;深证AB股;深证A股;深证上市公司,1.67865707,1.31779821E8,16202413.0,6.801007556675064,12,7651469232.0,1.5622109E7,28842356.0,12639943.0,8.3,8.53,8.24,8.48,3.477218,33,300087
000505.SZ,京粮控股,6.61,转基因;粮食概念;海南自贸区;国企改革;网红经济;京津冀一体化;一带一路;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;深证AB股;深证A股;深证上市公司;深证主板A股,2.95950156,1.05525631E8,5626413.5,2.006172839506171,8,4180034020.96,1.59536E7,11502648.5,5876235.0,6.56,6.69,6.49,6.61,3.115264,33,000505
001256.SZ,炜冈科技,25.11,专精特新;长三角一体化;共同富裕示范区,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;深证AB股;深证A股;深证上市公司;深证主板A股,0.60096154,9.3141847E7,992456.0,6.9420783645655835,3,2684574331.38,3733400,3314228.0,2321772.0,25.04,25.3,24.69,25.11,2.44391,33,001256
688319.SH,欧林生物,30.88,专精特新;幽门螺杆菌概念;西部大开发;流感;生物疫苗;创新药;沪股通;融资融券,上证AB股;上证A股;上证上市公司;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深股通;沪股通;沪股通(可融资融券);科创板,3.13961256,5.199282E8,25533473.0,7.036395147313683,8,12519039184.0,1.6800431E7,111764720.0,86231247.0,30.97,32.18,29.66,30.88,8.416833,17,688319
688212.SH,澳华内镜,34.96,专精特新;医疗器械概念;智能医疗;回购增持再贷款概念;沪股通;融资融券,上证AB股;上证A股;上证上市公司;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深股通;沪股通;沪股通(可融资融券);科创板,-4.3502052,2.55247554E8,6326616.1000000015,-8.720626631853778,6,4707897140.0,7434579,35448730.0,29122113.9,36,36.02,32.93,34.96,8.454172,17,688212
688677.SH,海泰新光,110.0,专精特新;医疗器械概念;人民币贬值受益;融资融券;沪股通,上证AB股;上证A股;上证上市公司;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深股通;沪股通;沪股通(可融资融券);科创板,-0.9009009,4.99009649E8,6904063.0,9.43095901313172,5,13186470000.0,4466124,103756139.0,96852076.0,110.05,115.58,108.7,110.0,6.198198,17,688677
301273.SZ,瑞晨环保,37.59,专精特新;新型工业化;芯片概念;低空经济;稀土永磁;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;创业板(注册制);沪深AB股;沪深A股;深证AB股;深证A股;深证上市公司,3.92590545,5.3542867E7,3581414.0,17.43205248359889,6,2066930017.53,1459200,3581414.0,0.0,36.01,37.59,35.28,37.59,6.386508,33,301273
301581.SZ,黄山谷捷,46.93,专精特新;芯片概念;新能源汽车;供销社;光伏概念;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;创业板(注册制);沪深AB股;沪深A股;深证AB股;深证A股;深证上市公司,1.2295082,2.38066881E7,1383440.24,3.575369675568301,6,2293844540.0,507362,1665620.24,282180.0,46.49,47.44,46.38,46.93,2.286453,33,301581
300551.SZ,古鳌科技,14.35,专精特新;芯片概念;存储芯片;互联网金融;数字货币;虚拟数字人;绿色电力,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;沪深AB股;沪深A股;深证AB股;深证A股;深证上市公司,1.91761364,1.30003129E8,13682791.0,7.732732732732728,7,4865695512.3,9195050,21806273.0,8123482.0,13.96,14.41,13.83,14.35,4.119318,33,300551
301192.SZ,泰祥股份,27.73,专精特新;新能源汽车;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;创业板(注册制);沪深AB股;沪深A股;深证AB股;深证A股;深证上市公司,0.98324836,3.29667479E7,686496.0,7.731157731157739,3,1327400437.5,1191232,963894.0,277398.0,27.44,28.47,27.27,27.73,4.369992,33,301192
301170.SZ,锡南科技,29.55,专精特新;新能源汽车;减速器;燃料电池;一带一路;储能;参股银行;氢能源;融资融券,全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;创业板;创业板(注册制);沪深AB股;沪深A股;深证AB股;深证A股;深证上市公司,0.3736413,3.8179986E7,93993.0,3.4301715085754303,9,992153808.75,1294600,877953.0,783960.0,29.47,29.78,29.3,29.55,1.630434,33,301170
603409.SH,汇通控股,43.34,专精特新;新能源汽车;比亚迪概念;华为汽车;融资融券,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股,2.45862884,1.43848172E8,2320520.0,3.1413612565445033,5,1567361108.72,3332267,20077413.0,17756893.0,42.02,43.96,42,43.34,4.633569,17,603409
603109.SH,神驰机电,22.4,专精特新;无人机;新能源汽车;机器人概念;数据中心;储能;人民币贬值受益;农机;中俄贸易概念;水利;一带一路;西部大开发;乡村振兴;沪股通,上证AB股;上证A股;上证上市公司;上证主板A股;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;沪深主板A股;沪深股通;沪股通,0.35842294,9.9470412E7,2748014.0,-5.842791088692731,14,4678203264.0,4402752,11433318.0,8685304.0,22.43,23.05,22.31,22.4,3.315412,17,603109
688367.SH,工大高科,40.6,专精特新;无人驾驶;华为概念;工业互联网;DeepSeek概念;融资融券,上证AB股;上证A股;上证上市公司;全部AB股;全部A股;全部A股(非ST);全部A股(非金融);全部上市公司;沪深AB股;沪深A股;科创板,0.4950495,9.633596E7,9754745.200000001,-1.4563106796116538,6,3557558760.0,2367017,26214970.1,16460224.9,40.66,41.2,39.73,40.6,3.638613,17,688367
